Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability
1,12,1.2,10.8,Reject,-7.44,0.0
2,15,5.25,9.75,Accept,1.2,0.77
3,12,3.0,9.0,Reject,-2.4,0.08
8,9,4.5,4.5,Accept,4.5,0.99
9,9,2.25,6.75,Reject,-1.8,0.14
12,15,6.0,9.0,Accept,3.3,0.96
13,18,9.0,9.0,Accept,9.0,1.0
15,9,2.25,6.75,Reject,-1.8,0.14
17,12,2.4,9.6,Reject,-4.08,0.02
18,18,5.4,12.6,Reject,-1.08,0.25
19,9,2.7,6.3,Reject,-0.54,0.37
20,15,5.25,9.75,Accept,1.2,0.77
21,15,1.5,13.5,Reject,-9.3,0.0
24,15,3.0,12.0,Reject,-5.1,0.01
25,9,2.7,6.3,Reject,-0.54,0.37
26,15,5.25,9.75,Reject,1.2,0.77
27,6,2.4,3.6,Reject,1.32,0.79
28,9,3.6,5.4,Accept,1.98,0.88
29,9,1.8,7.2,Reject,-3.06,0.04
30,9,2.7,6.3,Accept,-0.54,0.37
31,9,4.5,4.5,Accept,4.5,0.99
33,15,3.75,11.25,Reject,-3.0,0.05
34,9,3.6,5.4,Accept,1.98,0.88
35,6,1.2,4.8,Reject,-2.04,0.12
36,12,4.2,7.8,Accept,0.96,0.72
37,12,4.2,7.8,Reject,0.96,0.72
38,15,6.0,9.0,Accept,3.3,0.96
39,6,1.8,4.2,Reject,-0.36,0.41
41,18,4.5,13.5,Reject,-3.6,0.03
45,9,2.7,6.3,Reject,-0.54,0.37
46,15,1.5,13.5,Reject,-9.3,0.0
47,15,5.25,9.75,Accept,1.2,0.77
48,15,3.75,11.25,Reject,-3.0,0.05
49,15,3.0,12.0,Reject,-5.1,0.01
50,12,4.8,7.2,Accept,2.64,0.93
51,9,1.8,7.2,Reject,-3.06,0.04
