Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion,Variance
1,12,1.2,10.8,Reject,-22.8,0.0,0.5,0.0493
2,15,5.25,9.75,Reject,-2.67,0.06,0.46,0.046
3,12,3.0,9.0,Reject,-8.7,0.0,0.44,0.0451
8,9,4.5,4.5,Accept,4.34,0.99,0.43,0.0423
9,9,2.25,6.75,Reject,-6.0,0.0,0.43,0.0415
12,15,6.0,9.0,Accept,4.56,0.99,0.42,0.0389
13,18,9.0,9.0,Accept,8.63,1.0,0.42,0.037
15,9,2.25,6.75,Reject,-5.55,0.0,0.42,0.0365
17,12,2.4,9.6,Reject,-10.35,0.0,0.41,0.0368
18,18,5.4,12.6,Reject,-3.6,0.03,0.4,0.0355
19,9,2.7,6.3,Reject,-1.55,0.18,0.39,0.0342
20,15,5.25,9.75,Accept,2.29,0.91,0.39,0.0327
21,15,1.5,13.5,Reject,-20.06,0.0,0.39,0.0347
24,15,3.0,12.0,Reject,-10.04,0.0,0.37,0.0345
25,9,2.7,6.3,Reject,-0.27,0.43,0.37,0.0332
26,15,5.25,9.75,Accept,4.27,0.99,0.36,0.032
27,6,2.4,3.6,Accept,2.34,0.91,0.36,0.0308
28,9,3.6,5.4,Accept,3.52,0.97,0.36,0.0298
29,9,1.8,7.2,Reject,-5.64,0.0,0.37,0.0297
30,9,2.7,6.3,Accept,0.03,0.51,0.36,0.0288
31,9,4.5,4.5,Accept,4.18,0.98,0.36,0.0285
33,15,3.75,11.25,Reject,-4.66,0.01,0.36,0.028
34,9,3.6,5.4,Accept,3.51,0.97,0.36,0.0272
35,6,1.2,4.8,Reject,-3.59,0.03,0.36,0.0271
36,12,4.2,7.8,Accept,3.92,0.98,0.35,0.0263
37,12,4.2,7.8,Accept,3.93,0.98,0.35,0.0256
38,15,6.0,9.0,Accept,5.83,1.0,0.35,0.025
39,6,1.8,4.2,Accept,0.13,0.53,0.36,0.0244
41,18,4.5,13.5,Reject,-4.88,0.01,0.35,0.024
45,9,2.7,6.3,Accept,0.39,0.6,0.35,0.0235
46,15,1.5,13.5,Reject,-17.25,0.0,0.35,0.0244
47,15,5.25,9.75,Accept,5.23,0.99,0.34,0.0238
48,15,3.75,11.25,Reject,-3.28,0.04,0.34,0.0235
49,15,3.0,12.0,Reject,-7.61,0.0,0.34,0.0234
50,12,4.8,7.2,Accept,4.61,0.99,0.34,0.023
51,9,1.8,7.2,Reject,-4.48,0.01,0.34,0.0229
