Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion,Variance,Valence,Arousal,Emotional Component
1,12,1.2,10.8,Reject,-2.8,0.06,0.5,0.0493,-1,4,-4
2,15,5.25,9.75,Accept,1.25,0.78,0.46,0.046,-1,4,-4
3,12,3.0,9.0,Accept,-1.0,0.27,0.44,0.0451,-1,4,-4
8,9,4.5,4.5,Accept,8.5,1.0,0.43,0.0423,1,4,4
9,9,2.25,6.75,Accept,-1.75,0.15,0.43,0.0415,-1,4,-4
12,15,6.0,9.0,Accept,2.0,0.88,0.42,0.0389,-1,4,-4
13,18,9.0,9.0,Accept,13.0,1.0,0.42,0.037,1,4,4
15,9,2.25,6.75,Reject,-1.75,0.15,0.42,0.0365,-1,4,-4
17,12,2.4,9.6,Reject,-1.6,0.17,0.41,0.0368,-1,4,-4
18,18,5.4,12.6,Accept,1.4,0.8,0.4,0.0355,-1,4,-4
19,9,2.7,6.3,Reject,-1.3,0.21,0.39,0.0342,-1,4,-4
20,15,5.25,9.75,Accept,1.25,0.78,0.39,0.0327,-1,4,-4
21,15,1.5,13.5,Reject,-2.5,0.08,0.39,0.0347,-1,4,-4
24,15,3.0,12.0,Reject,-1.0,0.27,0.37,0.0345,-1,4,-4
25,9,2.7,6.3,Accept,-1.3,0.21,0.37,0.0332,-1,4,-4
26,15,5.25,9.75,Accept,1.25,0.78,0.36,0.032,-1,4,-4
27,6,2.4,3.6,Accept,6.4,1.0,0.36,0.0308,1,4,4
28,9,3.6,5.4,Accept,7.6,1.0,0.36,0.0298,1,4,4
29,9,1.8,7.2,Reject,-2.2,0.1,0.37,0.0297,-1,4,-4
30,9,2.7,6.3,Reject,-1.3,0.21,0.36,0.0288,-1,4,-4
31,9,4.5,4.5,Accept,8.5,1.0,0.36,0.0285,1,4,4
33,15,3.75,11.25,Reject,-0.25,0.44,0.36,0.028,-1,4,-4
34,9,3.6,5.4,Accept,7.6,1.0,0.36,0.0272,1,4,4
35,6,1.2,4.8,Reject,-2.8,0.06,0.36,0.0271,-1,4,-4
36,12,4.2,7.8,Reject,0.2,0.55,0.35,0.0263,-1,4,-4
37,12,4.2,7.8,Accept,0.2,0.55,0.35,0.0256,-1,4,-4
38,15,6.0,9.0,Accept,10.0,1.0,0.35,0.025,1,4,4
39,6,1.8,4.2,Reject,-2.2,0.1,0.36,0.0244,-1,4,-4
41,18,4.5,13.5,Accept,0.5,0.62,0.35,0.024,-1,4,-4
45,9,2.7,6.3,Reject,-1.3,0.21,0.35,0.0235,-1,4,-4
46,15,1.5,13.5,Reject,-2.5,0.08,0.35,0.0244,-1,4,-4
47,15,5.25,9.75,Accept,9.25,1.0,0.34,0.0238,1,4,4
48,15,3.75,11.25,Reject,-0.25,0.44,0.34,0.0235,-1,4,-4
49,15,3.0,12.0,Reject,-1.0,0.27,0.34,0.0234,-1,4,-4
50,12,4.8,7.2,Accept,8.8,1.0,0.34,0.023,1,4,4
51,9,1.8,7.2,Reject,-2.2,0.1,0.34,0.0229,-1,4,-4
