Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Valence,Arousal
1001,1,12,1.2,10.8,Reject,-0.8,0.31,-1,2
1001,2,15,5.25,9.75,Accept,3.25,0.96,-1,2
1001,3,12,3.0,9.0,Accept,1.0,0.73,-1,2
1001,8,9,4.5,4.5,Accept,4.5,0.99,0,0
1001,9,9,2.25,6.75,Accept,0.25,0.56,-1,2
1001,12,15,6.0,9.0,Accept,4.0,0.98,-1,2
1001,13,18,9.0,9.0,Accept,9.0,1.0,0,0
1001,15,9,2.25,6.75,Accept,0.25,0.56,-1,2
1001,17,12,2.4,9.6,Accept,0.4,0.6,-1,2
1001,18,18,5.4,12.6,Accept,3.4,0.97,-1,2
1001,19,9,2.7,6.3,Accept,0.7,0.67,-1,2
1001,20,15,5.25,9.75,Accept,3.25,0.96,-1,2
1001,21,15,1.5,13.5,Reject,-0.5,0.38,-1,2
1001,24,15,3.0,12.0,Accept,1.0,0.73,-1,2
1001,25,9,2.7,6.3,Reject,0.7,0.67,-1,2
1001,26,15,5.25,9.75,Accept,3.25,0.96,-1,2
1001,27,6,2.4,3.6,Accept,0.4,0.6,-1,2
1001,28,9,3.6,5.4,Reject,1.6,0.83,-1,2
1001,29,9,1.8,7.2,Accept,-0.2,0.45,-1,2
1001,30,9,2.7,6.3,Accept,0.7,0.67,-1,2
1001,31,9,4.5,4.5,Accept,4.5,0.99,0,0
1001,33,15,3.75,11.25,Accept,1.75,0.85,-1,2
1001,34,9,3.6,5.4,Accept,1.6,0.83,-1,2
1001,35,6,1.2,4.8,Reject,-0.8,0.31,-1,2
1001,36,12,4.2,7.8,Accept,2.2,0.9,-1,2
1001,37,12,4.2,7.8,Accept,2.2,0.9,-1,2
1001,38,15,6.0,9.0,Accept,4.0,0.98,-1,2
1001,39,6,1.8,4.2,Reject,-0.2,0.45,-1,2
1001,41,18,4.5,13.5,Accept,2.5,0.92,-1,2
1001,45,9,2.7,6.3,Reject,0.7,0.67,-1,2
1001,46,15,1.5,13.5,Accept,-0.5,0.38,-1,2
1001,47,15,5.25,9.75,Accept,3.25,0.96,-1,2
1001,48,15,3.75,11.25,Reject,1.75,0.85,-1,2
1001,49,15,3.0,12.0,Accept,1.0,0.73,-1,2
1001,50,12,4.8,7.2,Accept,2.8,0.94,-1,2
1001,51,9,1.8,7.2,Accept,-0.2,0.45,-1,2
